id,priorite,score,enseigne,type,segment,marques,commune,zone,adresse,lat,lng,tel,tel2,whatsapp,email,web,taille,formalise,anciennete,fiabilite,sources,motifHorsCible
P173,B,67,IPR,Entreprise enregistrée (annuaire),,,Treichville,,Treichville Bd VGE,,,+2252721256137,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P174,B,67,IVOIRIENNE DE DISTRIBUTION ET D'AMENAGEMENT,Entreprise enregistrée (annuaire),,,Treichville,,Rue 5 av. 21 Treichville,,,+2252721250427,,,,,,Oui (immatriculée),2006,Moyenne,Annuaire Yelloci (2026-08-25),
P004,B,67,JAPKO pieces auto,Vendeur pièces,Pièces auto (japonaises & coréennes),Japonais & Coréen,Treichville,,Treichville Avenue 8 rue 25 (Chez Ali Abdallah),,,+2250718444448,,+2250718444448,,https://www.facebook.com/100063807512913/,,,,Haute,Facebook Ad Library (2026-05-29),
P175,B,67,JAPON OSAKA CASS INTERNATIONAL,Entreprise enregistrée (annuaire),,,Treichville,,Bd VGE (Kabalane) Treichville,,,+2252721350419,,,,,,Oui (immatriculée),2006,Moyenne,Annuaire Yelloci (2026-08-25),
P176,B,67,Kabbani Adel,Entreprise enregistrée (annuaire),,,Marcory,,Zone 4 rue du Canal,,,+2252721351491,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P010,B,67,Profleet Ci,Vendeur pièces (batteries + moteurs),"Batteries 45AH→225AH (AGM & SLI), VL & PL ; moteurs & boîtes (neuf/occasion)",BOSCH (batteries) toutes marques,Marcory,,Abidjan – Zone 4,,,+2250799555575,,+2250799555575,,https://www.facebook.com/ads/library/?id=2036728650596790,,,,Haute,Facebook Ad Library (2026-05-29),
P133,B,67,REDA KHALIL ZEIDAN,Entreprise enregistrée (annuaire),,,Marcory,,"Bd du Gabon prolongé (Premoto), Marcory / Bd VGE",,,+2252721265435,,,,,,Oui (immatriculée),2000,Moyenne,Annuaire Yelloci (2026-08-25) + Annuaire Yelloci (2026-08-25),Concession / distributeur de marque
P120,B,67,REPRESENTATION INTERNATIONALE MARKETING ET COMMERCIALE,Entreprise enregistrée (annuaire),,,Treichville,,"9 rue du Canal, Zone 3C Treichville",,,+2252721259338,,,,,,Oui (immatriculée),1998,Moyenne,Annuaire Yelloci (2026-08-25),
P138,B,67,STE DE DISTRIBUTION DE PIECES AUTO ET SCES,Entreprise enregistrée (annuaire),,,Treichville,,"13 av. 21 France-Amérique, Treichville",,,+2252721341122,,,,,,Oui (immatriculée),2000,Moyenne,Annuaire Yelloci (2026-08-25),
P139,B,67,STE DE DISTRIBUTION-IMPORTATION DE PIECES ET ACCESSOIRES,Entreprise enregistrée (annuaire),,,Marcory,,"Bd Giscard Destaing, Zone 4A Marcory",,,+2252721356670,,,,,,Oui (immatriculée),1995,Moyenne,Annuaire Yelloci (2026-08-25),
P141,B,67,STE IV. DE REPRESENTATION DE COMMERCE ET D'INDUSTRIE,Entreprise enregistrée (annuaire),,,Marcory,,"Bd Giscard Destaing Zone 4, Marcory",,,+2252721263939,,,,,,Oui (immatriculée),1998,Moyenne,Annuaire Yelloci (2026-08-25),
P017,B,66,Kama pièces auto,Vendeur pièces,"Moteur, suspension, freinage, vidange, accessoires","Mercedes, BMW, Range Rover, Audi, Golf (européens + asiatiques)",Cocody,,2 Plateaux Bleu Marine,,,+2250505287460,+2250788630740,+2250505287460,,https://www.facebook.com/ads/library/?id=842462165566503,,,,Haute,Facebook Ad Library (2026-05-29),
P145,B,65,ETABLISSEMENTS ZAIN ALY FRANCOIS,Entreprise enregistrée (annuaire),,,Adjamé,,"Quartier Bracodi, Adjamé",,,+2252720371931,,,,,,Oui (immatriculée),2003,Moyenne,Annuaire Yelloci (2026-08-25),
P163,B,65,ETS COSCHARIS AUTO IVOIREN,Entreprise enregistrée (annuaire),,,Adjamé,,"Bd de Gaulle carrefour Stif, Adjamé",,,+2252720380702,,,,,,Oui (immatriculée),1999,Moyenne,Annuaire Yelloci (2026-08-25),Concession / distributeur de marque
P124,B,65,Nccpiecesauto,Entreprise enregistrée (annuaire),,,Adjamé,,"Adjamé Bracodi, face en bas du pont",,,+2250787450813,,,,,,Oui (immatriculée),2015,Moyenne,Annuaire Yelloci (2026-08-25),
P147,B,65,Zonda & Frères,Entreprise enregistrée (annuaire),,,Adjamé,,"Adjamé, vers gare UTB",,,+2252720384801,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P057,B,63,General Auto Parts,Magasin de pièces (relevé terrain OSM),,"Honda, Hyundai, Infiniti, Kia, Lexus, Mazda, Mitsubishi, Nissan, Suzuki, Toyota, DAF, MAN, Renault Trucks, Mercedes-Trucks",Marcory,Marcory / Zone 4,,5.28222,-3.97961,+2252721241404,,,,,,,,Haute,OpenStreetMap node/4019543202 (2026-05-27),
P058,B,63,SAMCO Auto Parts,Magasin de pièces (relevé terrain OSM),,"Audi, BMW, Mercedes-Benz, Volkswagen, Jeep, SsangYong",Marcory,Marcory / Zone 4,,5.28177,-3.97884,+2252721351444,+2250107075418,,,,,,,Haute,OpenStreetMap node/4019543204 (2026-05-27),
P123,B,62,7 AUTO,Entreprise enregistrée (annuaire),,,Plateau,,"Av. Delafosse, Imm. KM esc. B, Plateau",,,+2252720320515,,,,,,Oui (immatriculée),2007,Moyenne,Annuaire Yelloci (2026-08-25),
P045,B,62,Accessoires Auto FR,Accessoires,"Housses de sièges, garde-boue",Multimarques,Cocody,,Angré Oscars (rue 120),,,+2250769159403,,+2250769159403,,https://www.facebook.com/ads/library/?id=1449427963225364,,,,Haute,Facebook Ad Library (2026-05-29),Accessoires / tuning / multimédia
P005,B,62,Ade Pieces Auto,Vendeur pièces,Pièces Honda neuves ou certifiées,Honda,Koumassi,,"Koumassi Remblais (près Pharmacie du Canal) ; Abatta (route Abatta Village, carrefour Drogba)",,,+2250707828927,,+2250707828927,,https://www.facebook.com/adepiecesauto,,,,Haute,Facebook Ad Library (2026-05-29),
P149,B,62,Ansan International,Entreprise enregistrée (annuaire),,,Plateau,,"Plateau, rue du Commerce",,,+2252720224015,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P030,B,62,Auto One Abidjan,Boutique auto,Profil à préciser (boutique auto Angré),Multimarques,Cocody,,Angré,,,+2250170060606,,+2250170060606,,https://www.facebook.com/ads/library/?id=1730883321413005,,,,Haute,Facebook Ad Library (2026-05-29),
P014,B,62,Cartex Center,Vendeur pièces,Pièces détachées auto (large gamme),Multimarques,Cocody,,"Cocody Angré, 100m commissariat 22e Arrondissement",,,+2250141868449,,,,https://www.facebook.com/ads/library/?id=2262976750897707,,,,Haute,Facebook Ad Library (2026-05-29),
P127,B,62,CIERA,Entreprise enregistrée (annuaire),,,Cocody,,"Cocody 2 Plateaux, derrière Las Palmas",,,+2252722420049,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P169,B,62,FULCYGES,Entreprise enregistrée (annuaire),,,Cocody,,II Plateaux (Sococe) Cocody,,,+2252722506765,,,,,,Oui (immatriculée),2006,Moyenne,Annuaire Yelloci (2026-08-25),
P170,B,62,Gil Company,Entreprise enregistrée (annuaire),,,Cocody,,Cocody,,,+2252722419502,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P028,B,62,Melhem Auto Service,Vendeur pièces (spécialiste),Spécialiste boîtes automatiques (vente + réparation),"Toutes marques (incl. Haval, Changan)",Cocody,,Rivièra Palmeraie (avant barrage,,,+2250749481313,,+2250749481313,,https://www.facebook.com/ads/library/?id=1759365545231286,,,,Haute,Facebook Ad Library (2026-05-29),
P043,B,62,Moné accessoires,Accessoires/multimédia,"Autoradios écrans Android/CarPlay, alarmes, appui-têtes écrans",Multimarques,Cocody,,2 Plateaux (rue K54),,,+2250704915309,+2250789048169,+2250704915309,,https://www.facebook.com/ads/library/?id=2482760902163301,,,,Haute,Facebook Ad Library (2026-05-29),Accessoires / tuning / multimédia
P033,B,62,Pare Brise Express CI,Vitrage (pose),Remplacement pare-brise à domicile,Multimarques,Cocody,,Abidjan (Cocody),,,+2250704007991,,+2250704007991,,https://www.facebook.com/ads/library/?id=1138697141661387,,,,Haute,Facebook Ad Library (2026-05-29),Vitrage — hors pièces mécaniques
P044,B,62,Roi des écrans,Accessoires/multimédia,"Autoradios écrans Android, caméra de recul",Multimarques,Cocody,,Angré (nouveau CHU),,,+2250574450550,,,,https://www.facebook.com/ads/library/?id=1764791617830529,,,,Haute,Facebook Ad Library (2026-05-29),
P021,B,62,SOLUXECAR,Garage/centre auto + sourcing pièces,"Lavage/detailing, carrosserie/peinture, mécanique/électricité, commande express pièces détachées",Multimarques,Cocody,,"M'badon, face Université UIPA",,,+2250505195752,+2250556486076,+2250505195752,,https://www.facebook.com/ads/library/?id=844709444875236,,,,Haute,Facebook Ad Library (2026-05-29),"Garage / service, pas grossiste"
P020,B,61,Auto détachées toute marques,Vendeur pièces (neuf & casse),Pièces neuves & de casse ; mécaniciens sur site,"Toutes marques (Toyota, Nissan, Renault, Mitsubishi, Suzuki, BMW, Mercedes, Chevrolet, Golf, Peugeot)",,,Abidjan,,,+2250706272749,+2250173277518,+2250706272749,,https://www.facebook.com/ads/library/?id=943504001545340,,,,Haute,Facebook Ad Library (2026-05-29),
P023,B,61,Emmason pièce auto,Vendeur pièces,Pièces détachées (japonaises),"Suzuki, Toyota, Mitsubishi, Mazda",,,Abidjan,,,+2250508918791,,+2250508918791,,https://www.facebook.com/61561749957193,,,,Haute,Facebook Ad Library (2026-05-29),
P009,B,61,IKGOD Global Pièces Auto,Vendeur pièces,Large gamme pièces (gros & détail),"Land Rover, Range Rover, Jaguar, Chevrolet, Kia, Hyundai, Suzuki",,,Côte d'Ivoire (livraison),,,+2250554453333,,+2250554453333,,https://www.facebook.com/61561546539599,,,,Haute,Facebook Ad Library (2026-05-29),
P022,B,61,KAB service automobile,Vendeur pièces,"Demi-moteur, pare-chocs, phares, feux, ailes, coffre, support moteur","Chinoises + japonaises (Suzuki, Haval, Changan, Toyota)",,,Abidjan (livraison),,,+2250506840870,,+2250506840870,,https://www.facebook.com/ads/library/?id=1528567052259651,,,,Haute,Facebook Ad Library (2026-05-29),
P155,B,60,DIARRASSOUBA ADAMA,Entreprise enregistrée (annuaire),,,Yopougon,,Yopougon,,,+2250107577414,,,,,,Oui (immatriculée),1999,Moyenne,Annuaire Yelloci (2026-08-25),
P159,B,60,ENTREPRISE IVOIRIENNE DE COMMERCE,Entreprise enregistrée (annuaire),,,Yopougon,,Lot 221 Wassakara Yopougon,,,+2250107847236,,,,,,Oui (immatriculée),2005,Moyenne,Annuaire Yelloci (2026-08-25),
P122,B,60,FODIDRIVE,Entreprise enregistrée (annuaire),,,Yopougon,,Yopougon Kenya,,,+2250585485289,,,,,,Oui (immatriculée),2020,Moyenne,Annuaire Yelloci (2026-08-25),
P032,B,60,King's Auto Glass,Vitrage (vente + pose),"Pare-brise, carreaux portières, lunette arrière (gros & détail + pose)",Toutes marques,Yopougon,,Yopougon (garage CIE,,,+2250778081540,+2250171556104,+2250171556104,,https://www.facebook.com/ads/library/?id=1850372412605908,,,,Haute,Facebook Ad Library (2026-05-29),Vitrage — hors pièces mécaniques
P134,B,60,RESEAU IVOIRIEN DE MAINTENANCE,Entreprise enregistrée (annuaire),,,Yopougon,,"Banco Résidentiel, Yopougon",,,+2252723522684,,,,,,Oui (immatriculée),2004,Moyenne,Annuaire Yelloci (2026-08-25),
P008,B,60,SMS Pièces Auto Bmw-mercedes,Vendeur pièces,Pièces d'origine + entretien/réparation/diagnostic,"BMW, Mercedes-Benz, Mini Cooper (allemandes premium)",Yopougon,,Yopougon (près Carrefour Sipim),,,+2250778575635,+2250707577057,,,https://www.facebook.com/ads/library/?id=1286741479765546,,,,Haute,Facebook Ad Library (2026-05-29),
P019,B,60,SMS-Société Multi services,Vendeur pièces,Pièces détachées,"Great Wall, Haval (chinoises)",Yopougon,,Yopougon (à côté pharmacie Tereza),,,+2250566227791,+2250778990313,+2250566227791,,https://www.facebook.com/ads/library/?id=1641715776908278,,,,Haute,Facebook Ad Library (2026-05-29),
P049,B,60,Société Gedis-Lub,Magasin de pièces (relevé terrain OSM),,,Marcory,Marcory / Zone 4,11 Rue Clément Ader Zone 4c Marcory,5.29580,-3.98779,+2252721354486,,,infos@gedislub.com,https://gedislub.com/,,,,Haute,OpenStreetMap node/3025272709 (2026-05-27),
P006,B,60,TSF SARL,Vendeur pièces (carrosserie),"Pare-chocs av/ar, phares, feux ar, calandres, rétroviseurs, antibrouillards, clignotants, ailes, capots + lavage/polissage phares",KIA & Hyundai,Yopougon,,Yopougon Sablé (près pharmacie les Oliviers),,,+2250709744437,+2250101689040,+2250709744437,,https://www.facebook.com/ads/library/?id=2083792775893644,,,,Haute,Facebook Ad Library (2026-05-29),
P146,B,60,YAO BOSSIAN IMPORT-EXPORT,Entreprise enregistrée (annuaire),,,Yopougon,,"Carrefour Ficgayo, Yopougon",,,+2250108148810,,,,,,Oui (immatriculée),2003,Moyenne,Annuaire Yelloci (2026-08-25),
P011,B,58,CAR GLASS CI,Vendeur/poseur (vitrage),"Pare-brise / vitrage auto, remplacement à domicile",Multimarques,Abobo,,Abobo (Pharmacie Providence),,,+2250789244524,,+2250789244524,,https://www.facebook.com/ads/library/?id=981638704231215,,,,Haute,Facebook Ad Library (2026-05-29),Vitrage — hors pièces mécaniques
P129,B,58,DIARRASSOUBA LASSANA CASSE AFRICA IMPORT,Entreprise enregistrée (annuaire),,,Abobo,,"Rue des Rails, Cité Verte Abobo",,,+2252724396480,,,,,,Oui (immatriculée),2004,Moyenne,Annuaire Yelloci (2026-08-25),
P031,B,58,Impérial Pare-brise,Vitrage (vente + pose),"Pare-brise, carreaux portières, lunette arrière (gros & détail + pose)",Toutes marques,Abobo,,Abobo Banco,,,+2250715512476,+2250505095423,+2250505095423,,https://www.facebook.com/ads/library/?id=1232347428796537,,,,Haute,Facebook Ad Library (2026-05-29),Vitrage — hors pièces mécaniques
P018,B,58,Soum auto,Vendeur pièces,"Pièces neuves & d'origine, tous types de véhicules",Toutes marques,Abobo,,Abobo N'dotre,,,+2250759336942,+2250504037890,+2250759336942,,https://www.facebook.com/ads/library/?id=910846268640379,,,,Haute,Facebook Ad Library (2026-05-29),
P046,B,57,Auto Afrika,Accessoires,Habillages sièges cuir,Multimarques,,,Abidjan,,,+2250545174206,,,,https://www.facebook.com/ads/library/?id=990803596981139,,,,Haute,Facebook Ad Library (2026-05-29),Accessoires / tuning / multimédia
P034,B,57,AUTO Pare-brise,Vitrage (pose),Remplacement pare-brise/vitres à domicile,Multimarques,,,Abidjan,,,+2250556565785,,,,https://www.facebook.com/ads/library/?id=2034972087901786,,,,Haute,Facebook Ad Library (2026-05-29),Vitrage — hors pièces mécaniques
P035,B,57,Auto STYLE,Accessoires,Tapis de sol toutes marques,Multimarques,,,Abidjan,,,+2250556954533,,,,https://www.facebook.com/ads/library/?id=3899492897011570,,,,Haute,Facebook Ad Library (2026-05-29),Accessoires / tuning / multimédia
P042,B,57,CHIC AUTO STORE,Accessoires/tuning,"Tuning/carrosserie sport: lames, becquets, diffuseurs, calandres, pare-chocs M-Tech, bas de caisse, embouts échappement",BMW E46 + universel,,,Abidjan,,,+2250787056582,,+2250787056582,,https://www.facebook.com/ads/library/?id=1187869786721391,,,,Haute,Facebook Ad Library (2026-05-29),Accessoires / tuning / multimédia
P048,B,57,ci pièces,Outillage,Outillage mécanique,Multimarques,,,Abidjan,,,+2250708389934,+2250151527831,+2250708389934,,https://www.facebook.com/ads/library/?id=988656073849181,,,,Haute,Facebook Ad Library (2026-05-29),Outillage atelier
P128,B,57,Cool Service,Entreprise enregistrée (annuaire),,,,,Bd Marseille Zone 2C face BIAO,,,+2252721252125,,,,,,Oui (immatriculée),2001,Moyenne,Annuaire Yelloci (2026-08-25),
P015,B,57,Dav Pièces détachées automobile,Vendeur pièces,"Mécanique & tôlerie, sur référence","Voitures chinoises (Haval, BYD, Changan)",,,Abidjan,,,+2250584070918,,+2250584070918,,https://www.facebook.com/ads/library/?id=863053572795265,,,,Haute,Facebook Ad Library (2026-05-29),
P029,B,57,David auto parts,Vendeur pièces,Pièces auto toutes marques,Toutes marques,,,Abidjan,,,+2250586403841,,+2250586403841,,https://www.facebook.com/ads/library/?id=2896356267392080,,,,Haute,Facebook Ad Library (2026-05-29),
P168,B,57,FAN,Entreprise enregistrée (annuaire),,,,,Rue des Majorettes,,,+2252721258435,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P002,B,57,Global Auto,Vendeur pièces,"Amortisseurs, plaquettes frein, feux, évaporateurs, boîtiers papillon (avec réf. constructeur)",Mitsubishi (origine),,,Abidjan (site web),,,+2250150500011,,+2250150500011,,https://www.facebook.com/ads/library/?id=1643039233267845,,,,Haute,Facebook Ad Library (2026-05-29),
P024,B,57,Mk pièce auto,Vendeur pièces,Pièces mécaniques + accessoires,Toutes marques,,,Abidjan (livraison CI),,,+2250789886981,,+2250789886981,,https://www.facebook.com/ads/library/?id=2433009287178474,,,,Haute,Facebook Ad Library (2026-05-29),
P012,B,57,Noor Auto Design,Garage carrosserie + pièces,"Tôlerie, peinture, remplacement de pièces",Multimarques,,,Abidjan,,,+2250596890424,+2250796890424,+2250596890424,,https://www.facebook.com/ads/library/?id=2141619696628754,,,,Haute,Facebook Ad Library (2026-05-29),"Garage / service, pas grossiste"
P013,B,57,Pro catalyseur - pièces détachées,Vendeur pièces (échappement),"Catalyseurs, pots d'échappement, silencieux, sonde lambda, collecteurs",Multimarques,,,Abidjan,,,+2250160125088,,,,https://www.facebook.com/ads/library/?id=946325744984030,,,,Haute,Facebook Ad Library (2026-05-29),
P016,B,57,Sky Auto,Vendeur pièces,"Moteurs, pompes à essence, boîtes de vitesses, amortisseurs, pare-chocs, phares",Multimarques (origine),,,Abidjan,,,+2250707344432,,+2250707344432,,https://www.facebook.com/ads/library/?id=1917786628940788,,,,Haute,Facebook Ad Library (2026-05-29),
P136,B,57,STE COOPERATIVE AGRO INDUSTRIELLE DE LATENE,Entreprise enregistrée (annuaire),,,Port-Bouët,,ZI Vridi,,,+2252721219070,,,,,,Oui (immatriculée),2000,Moyenne,Annuaire Yelloci (2026-08-25),
P025,B,57,toure service automobile et pièces détachées,Vendeur pièces + multimédia,Pièces détachées + autoradios écrans Android,Multimarques,,,Côte d'Ivoire,,,+2250566460146,,,,https://www.facebook.com/ads/library/?id=1512329516960419,,,,Haute,Facebook Ad Library (2026-05-29),
